link_id,order_count,occurrence_count,connector_distance_m,oneway_code,connector_semantics,semantic_group,reviewer_id,review_status,direction_correct,level_transition_correct,ramp_or_terminal_evidence,major_error,data_limitation,comments
grade_transition_connector__1443,21,21,0.0,F,"('0', False, False)->('3', True, False)|trunk->trunk","('0', False, False)->('3', True, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1446,11,11,0.0,T,"('0', False, False)->('3', True, False)|trunk->trunk","('0', False, False)->('3', True, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1447,20,20,0.0,T,"('3', True, False)->('0', False, False)|trunk->trunk","('3', True, False)->('0', False, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1448,27,27,0.0,F,"('0', False, False)->('1', True, False)|trunk->trunk","('0', False, False)->('1', True, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1449,10,10,0.0,T,"('0', False, False)->('1', True, False)|trunk->trunk","('0', False, False)->('1', True, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1450,11,11,0.0,F,"('3', True, False)->('0', False, False)|trunk->trunk","('3', True, False)->('0', False, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1451,5,5,0.0,F,"('0', False, False)->('2', True, False)|trunk_link->trunk_link","('0', False, False)->('2', True, False)|trunk_link->trunk_link",,pending,,,,,,
grade_transition_connector__1474,2,2,0.0,T,"('0', False, False)->('1', True, False)|primary_link->primary_link","('0', False, False)->('1', True, False)|primary_link->primary_link",,pending,,,,,,
grade_transition_connector__1497,25,25,0.0,T,"('1', True, False)->('0', False, False)|trunk->trunk","('1', True, False)->('0', False, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1498,14,14,0.0,F,"('1', True, False)->('0', False, False)|trunk->trunk","('1', True, False)->('0', False, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1501,22,22,0.0,F,"('1', False, False)->('0', False, False)|trunk_link->trunk_link","('1', False, False)->('0', False, False)|trunk_link->trunk_link",,pending,,,,,,
